CGGallery.Title: CG 画廊
Confirmation.No: 否
Confirmation.Yes: 是
ControlPanel.Auto: 自动
ControlPanel.Continue: 继续。
ControlPanel.Hide: 隐藏
ControlPanel.Load: 读档
ControlPanel.Log: 日志
ControlPanel.Menu: 目录
ControlPanel.QuickLoad: 快速读档
ControlPanel.QuickSave: 快速存档
ControlPanel.Rollback: 回退
ControlPanel.Save: 存档
ControlPanel.Settings: 设置
ControlPanel.Skip: 跳过
ControlPanel.Tips: 提示
ControlPanel.Title: 标题
ControlPanelTitleButton.ConfirmationMessage: 您确定要退出到标题屏幕吗？<br>任何未保存的游戏进度都将丢失。
ExternalScriptsBrowser.Info: 请选择你要播放的脚本
ExternalScriptsBrowser.Title: 外部脚本
GameSettingsFontDropdown.DefaultFontName: 默认字体
GameSettingsFontSizeDropdown.Default: 默认
GameSettingsFontSizeDropdown.ExtraLarge: 特大
GameSettingsFontSizeDropdown.Large: 大
GameSettingsFontSizeDropdown.Small: 小
GameSettingsGraphicsDropdown.GraphicOption1: 极低
GameSettingsGraphicsDropdown.GraphicOption2: 低
GameSettingsGraphicsDropdown.GraphicOption3: 中等的
GameSettingsGraphicsDropdown.GraphicOption4: 高
GameSettingsGraphicsDropdown.GraphicOption5: 非常高
GameSettingsGraphicsDropdown.GraphicOption6: 极高
GameSettingsScreenModeDropdown.ExclusiveFullScreen: 全屏
GameSettingsScreenModeDropdown.FullScreenWindow: 全屏窗口
GameSettingsScreenModeDropdown.MaximizedWindow: 最大化窗口
GameSettingsScreenModeDropdown.Windowed: 窗口模式
GameSettingsSkipModeDropdown.Everything: 全部跳过
GameSettingsSkipModeDropdown.ReadOnly: 已读跳过
GameStateSlot.EmptySlotLabel: 空
General.Close: 关闭
General.Delete: 删除
General.Navigate: 导航
General.Page: 页
General.Return: 返回
General.Scroll: 滚动
General.Select: 选择
General.Tab: 标签
General.View: 查看
SaveLoadMenu.DeleteSaveSlotMessage: 确定要删除该存档位吗？
SaveLoadMenu.OverwriteSaveSlotMessage: 确定要覆盖该存档位吗？
SaveLoadMenu.Tab.Load: 读档
SaveLoadMenu.Tab.QuickLoad: 快速读档
SaveLoadMenu.Tab.Save: 存档
SettingsMenu.AutoDelay: 自动播放延迟
SettingsMenu.Font: 字体
SettingsMenu.FontSize: 字号
SettingsMenu.Graphics: 画质
SettingsMenu.Language: 语言
SettingsMenu.MessageSpeed: 文字速度
SettingsMenu.Preview: 预览
SettingsMenu.PreviewText: 这是一段预览文本，用于查看字体与大小效果
SettingsMenu.Resolution: 分辨率
SettingsMenu.ScreenMode: 显示模式
SettingsMenu.SkipMode: 跳过模式
SettingsMenu.Tab.Basic: 基础
SettingsMenu.Tab.Sound: 声音
SettingsMenu.Tab.Text: 文本
SettingsMenu.VoiceLanguage: 语音语言
SettingsMenu.VolumeEffects: 音效音量
SettingsMenu.VolumeMaster: 主音量
SettingsMenu.VolumeMusic: 背景音乐音量
SettingsMenu.VolumeVoice: 语音音量
TitleMenu.CGGallery: CG 画廊
TitleMenu.Continue: 继续游戏
TitleMenu.Exit: 退出游戏
TitleMenu.ExternalScripts: 外部脚本
TitleMenu.NewGame: 新的游戏
TitleMenu.Settings: 设置
TitleMenu.Tips: 提示
VariableInput.Submit: 确定
